modelParameters
0.4
0.0411310294947995
5
1
1
0.25
0.0173
0.416040894211505
0.226521479180022
0.0952851971108971
-0.125690161368849
0.101837254633477
-0.399020715982015
5
0.15
0.001
0.748946666666667
0.289417756678798
-0.307020282526392
0.607020282526392
2.02908132683646
-0.81192840190905
1.83107599593648
4.00994860371868
1
1
1
1
0.15
0.001
0.25
1.00293079621924
0.5
1.57659917194939
3.65319834389878
3
