question_textid,PKSmodel_index,total_attempts,proportionCorrect,continuousPKSdifficulty,discretePKSdifficulty,difficultyRatingConfidence
301083,416,595,0.795,0.741,26,High
301088,417,425,0.828,0.724,28,High
301089,418,404,0.681,0.538,46,High
301090,419,424,0.649,0.487,51,High
301091,420,398,0.867,0.73,27,High
301092,421,476,0.761,0.643,36,High
301093,422,579,0.765,0.649,35,High
301095,423,747,0.889,0.849,15,High
301750,424,448,0.806,0.675,32,High
301751,425,444,0.7,0.601,40,High
301754,426,554,0.791,0.664,34,High
301755,427,566,0.843,0.725,27,High
301762,428,497,0.698,0.602,40,High
301763,429,485,0.627,0.493,51,High
301765,430,545,0.675,0.517,48,High
301766,431,570,0.786,0.687,31,High
301773,432,458,0.723,0.569,43,High
301775,433,524,0.811,0.737,26,High
301776,434,501,0.832,0.728,27,High
301777,435,508,0.703,0.569,43,High
301778,436,577,0.627,0.492,51,High
301786,437,470,0.698,0.55,45,High
301791,438,510,0.784,0.723,28,High
301797,439,482,0.6,0.439,56,High
301800,440,570,0.726,0.576,42,High
301802,441,501,0.649,0.521,48,High
301839,442,459,0.78,0.63,37,High
301856,443,474,0.848,0.779,22,High
301857,444,612,0.801,0.658,34,High
301861,445,504,0.774,0.644,36,High
301867,446,454,0.656,0.462,54,High
301868,447,437,0.755,0.605,39,High
301869,448,489,0.845,0.786,21,High
301870,449,357,0.653,0.473,53,High
301871,450,469,0.876,0.745,25,High
301882,451,615,0.745,0.62,38,High
301883,452,562,0.681,0.531,47,High
301885,453,468,0.637,0.428,57,High
301886,454,519,0.84,0.779,22,High
301888,455,456,0.629,0.506,49,High
301890,456,454,0.74,0.555,44,High
301891,457,477,0.665,0.472,53,High
301892,458,461,0.785,0.617,38,High
301896,459,462,0.563,0.397,60,High
301899,460,498,0.735,0.579,42,High
301903,461,623,0.852,0.749,25,High
301904,462,525,0.71,0.555,44,High
301906,463,433,0.801,0.639,36,High
301911,464,577,0.816,0.665,33,High
301912,465,534,0.777,0.683,32,High
301913,466,454,0.848,0.712,29,High
301914,467,566,0.613,0.447,55,High
301915,468,464,0.772,0.629,37,High
301918,469,611,0.787,0.649,35,High
301930,470,462,0.827,0.673,33,High
301939,471,698,0.918,0.907,9,High
301940,472,377,0.886,0.845,15,High
301941,473,477,0.797,0.692,31,High
301943,474,535,0.774,0.603,40,High
301973,475,538,0.636,0.537,46,High
301977,476,462,0.569,0.472,53,High
301980,477,470,0.719,0.608,39,High
301996,478,562,0.833,0.703,30,High
301997,479,419,0.668,0.615,38,High
301998,480,569,0.759,0.551,45,High
302001,481,457,0.729,0.597,40,High
302010,482,575,0.767,0.566,43,High
302014,483,627,0.684,0.497,50,High
305283,484,519,0.626,0.452,55,High
305284,485,355,0.603,0.425,57,High
305681,486,583,0.811,0.71,29,High
305696,487,502,0.878,0.829,17,High
305700,488,746,0.68,0.608,39,High
305701,489,1109,0.923,0.878,12,High
305994,490,703,0.691,0.563,44,High
326d054ec29a4ac4974a5eda8d6901e9,491,556,0.608,0.537,46,High
329712,492,621,0.776,0.734,27,High
329714,493,532,0.799,0.744,26,High
329720,494,703,0.844,0.753,25,High
329734,495,465,0.774,0.646,35,High
329735,496,313,0.681,0.526,47,High
329737,497,585,0.766,0.595,40,High
329738,498,583,0.674,0.455,54,High
32babc3d964544359966ac200c19d3f9,499,485,0.631,0.564,44,High
331832,500,689,0.731,0.626,37,High
333178,501,534,0.717,0.618,38,High
333179,502,743,0.59,0.54,46,High
333180,503,535,0.86,0.787,21,High
333218,504,629,0.714,0.56,44,High
334384,505,637,0.746,0.625,37,High
338771,506,536,0.901,0.83,17,High
339093,507,747,0.598,0.465,53,High
339094,508,757,0.691,0.647,35,High
339095,509,759,0.644,0.625,37,High
344188,510,610,0.787,0.705,29,High
344523,511,458,0.932,0.921,8,High
344555,512,415,0.916,0.825,17,High
345605,513,691,0.667,0.532,47,High
349393,514,353,0.671,0.571,43,High
349516,515,550,0.644,0.532,47,High
350092,516,700,0.913,0.884,12,High
3503c552f7d149fbb9d48e5f7c1cba4f,517,425,0.647,0.569,43,High
350986,518,415,0.742,0.703,30,High
351372,519,577,0.728,0.551,45,High
354587,520,801,0.669,0.548,45,High
356905,521,755,0.502,0.329,67,High
356924,522,549,0.663,0.516,48,High
356925,523,753,0.417,0.357,64,High
356957,524,772,0.791,0.766,23,High
356959,525,666,0.823,0.747,25,High
356997,526,551,0.626,0.553,45,High
357108,527,511,0.824,0.752,25,High
357109,528,519,0.813,0.749,25,High
357110,529,489,0.673,0.592,41,High
357111,530,490,0.82,0.72,28,High
357112,531,472,0.699,0.564,44,High
357114,532,560,0.852,0.717,28,High
357117,533,552,0.714,0.549,45,High
357320,534,429,0.846,0.752,25,High
357fa2c5dc8c4dfe9939130421e2213a,535,618,0.594,0.586,41,High
360851,536,451,0.769,0.638,36,High
360878,537,372,0.61,0.432,57,High
360911,538,491,0.66,0.518,48,High
363046,539,433,0.721,0.536,46,High
363047,540,609,0.777,0.607,39,High
363048,541,546,0.584,0.429,57,High
363049,542,535,0.652,0.565,43,High
363050,543,437,0.911,0.908,9,High
363054,544,606,0.921,0.888,11,High
363519,545,574,0.808,0.691,31,High
363525,546,502,0.6,0.485,51,High
363526,547,515,0.786,0.704,30,High
363528,548,496,0.732,0.62,38,High
363529,549,434,0.136,0.098,90,High
363531,550,608,0.592,0.408,59,High
363546,551,454,0.553,0.316,68,High
363547,552,494,0.749,0.574,43,High
363964,553,458,0.734,0.556,44,High
363965,554,364,0.874,0.773,23,High
363976,555,643,0.773,0.659,34,High
363977,556,641,0.846,0.756,24,High
363980,557,428,0.829,0.785,21,High
363981,558,400,0.785,0.649,35,High
363982,559,467,0.627,0.453,55,High
363990,560,813,0.677,0.59,41,High
363992,561,465,0.488,0.361,64,High
364103,562,216,0.657,0.584,42,High
364105,563,814,0.505,0.449,55,High
364106,564,755,0.66,0.582,42,High
364108,565,780,0.66,0.645,35,High
364109,566,747,0.581,0.531,47,High
364933,567,497,0.746,0.608,39,High
364934,568,481,0.788,0.685,31,High
364935,569,453,0.68,0.531,47,High
364937,570,458,0.666,0.498,50,High
364939,571,608,0.793,0.648,35,High
364940,572,479,0.574,0.383,62,High
364941,573,572,0.827,0.688,31,High
364942,574,472,0.718,0.556,44,High
364943,575,571,0.89,0.796,20,High
364944,576,563,0.856,0.733,27,High
364945,577,753,0.878,0.841,16,High
364946,578,468,0.682,0.603,40,High
364950,579,536,0.629,0.538,46,High
364952,580,668,0.642,0.477,52,High
364954,581,455,0.782,0.653,35,High
364955,582,457,0.694,0.544,46,High
364963,583,1020,0.722,0.543,46,High
364964,584,583,0.863,0.777,22,High
364972,585,616,0.846,0.843,16,High
364973,586,294,0.697,0.492,51,High
364974,587,503,0.535,0.373,63,High
364980,588,595,0.708,0.522,48,High
366167,589,475,0.842,0.713,29,High
366170,590,424,0.715,0.586,41,High
366171,591,524,0.666,0.569,43,High
366175,592,289,0.651,0.531,47,High
367513,593,609,0.363,0.217,78,High
373297,594,543,0.37,0.31,69,High
387578,595,612,0.742,0.692,31,High
389047,596,888,0.867,0.889,11,High
389048,597,834,0.803,0.759,24,High
389049,598,765,0.554,0.541,46,High
389073,599,653,0.626,0.541,46,High
38ec9d62123d4d5d85d78d4f1ed345ef,600,385,0.691,0.604,40,High
390443,601,563,0.885,0.829,17,High
390444,602,656,0.896,0.827,17,High
390445,603,794,0.436,0.425,57,High
390449,604,756,0.597,0.574,43,High
390452,605,842,0.885,0.886,11,High
390453,606,795,0.747,0.686,31,High
390522,607,683,0.861,0.767,23,High
390523,608,712,0.552,0.423,58,High
390526,609,681,0.69,0.568,43,High
390527,610,661,0.805,0.741,26,High
390534,611,641,0.777,0.683,32,High
390535,612,804,0.816,0.749,25,High
390539,613,639,0.77,0.693,31,High
390542,614,665,0.75,0.683,32,High
390545,615,434,0.608,0.469,53,High
390547,616,634,0.68,0.564,44,High
390550,617,647,0.652,0.533,47,High
390551,618,643,0.673,0.547,45,High
390553,619,734,0.627,0.512,49,High
390555,620,683,0.694,0.579,42,High
390556,621,638,0.766,0.664,34,High
390557,622,670,0.718,0.55,45,High
396014,623,594,0.606,0.422,58,High
396015,624,667,0.706,0.595,40,High
396016,625,639,0.712,0.603,40,High
396017,626,532,0.75,0.583,42,High
396018,627,638,0.61,0.482,52,High
396019,628,373,0.52,0.342,66,High
396020,629,710,0.808,0.746,25,High
396021,630,659,0.721,0.614,39,High
3a778b29d9ca4773ab2dd689228fcdc7,631,772,0.523,0.485,51,High
3ba1b325468f4cf6ab250944e4630afd,632,764,0.203,0.186,81,High
3ba1b325468f4cf6ab250944e4630afd1,633,445,0.364,0.296,70,High
3bfad069bcd44b688a86296706604e5b,634,572,0.477,0.4,60,High
3c48526c61fa4126abaf04daac3796bb,635,699,0.624,0.584,42,High
3ef65d27d23541d4a30ee03b2e93cd12,636,546,0.615,0.6,40,High
3f562eee8ab84654ba72f2fb439c6e5b,637,419,0.671,0.586,41,High
3f99441983b049febda0a8b1395df569,638,607,0.674,0.673,33,High
402239,639,635,0.542,0.425,57,High
408530,640,654,0.757,0.658,34,High
408546,641,655,0.875,0.787,21,High
408551,642,549,0.894,0.874,13,High
408562,643,407,0.737,0.672,33,High
408563,644,735,0.773,0.676,32,High
408568,645,573,0.764,0.627,37,High
408569,646,669,0.528,0.454,55,High
408571,647,481,0.48,0.413,59,High
408572,648,560,0.705,0.588,41,High
408576,649,557,0.741,0.628,37,High
408577,650,572,0.872,0.784,22,High
408578,651,684,0.702,0.659,34,High
408582,652,703,0.64,0.566,43,High
408583,653,525,0.73,0.595,40,High
408584,654,577,0.678,0.573,43,High
408585,655,583,0.786,0.674,33,High
408587,656,995,0.795,0.753,25,High
408588,657,580,0.497,0.338,66,High
408589,658,635,0.683,0.492,51,High
408590,659,401,0.541,0.358,64,High
408591,660,580,0.798,0.675,32,High
408592,661,941,0.683,0.707,29,High
408593,662,583,0.648,0.494,51,High
408594,663,788,0.637,0.503,50,High
408596,664,633,0.741,0.626,37,High
408597,665,563,0.837,0.729,27,High
408599,666,820,0.784,0.747,25,High
408604,667,679,0.555,0.48,52,High
408606,668,426,0.235,0.184,82,High
408623,669,486,0.467,0.386,61,High
408624,670,614,0.679,0.61,39,High
408625,671,589,0.803,0.766,23,High
408630,672,844,0.719,0.599,40,High
408632,673,492,0.583,0.475,52,High
408639,674,557,0.704,0.688,31,High
408640,675,523,0.717,0.637,36,High
408642,676,659,0.819,0.79,21,High
408643,677,505,0.873,0.813,19,High
408644,678,667,0.766,0.71,29,High
408646,679,496,0.774,0.623,38,High
408649,680,480,0.448,0.366,63,High
408650,681,479,0.514,0.52,48,High
408651,682,340,0.762,0.631,37,High
408657,683,470,0.677,0.553,45,High
408658,684,490,0.58,0.469,53,High
408659,685,699,0.702,0.558,44,High
408660,686,1012,0.775,0.684,32,High
408661,687,461,0.711,0.588,41,High
408663,688,704,0.855,0.774,23,High
408664,689,653,0.802,0.772,23,High
408667,690,513,0.813,0.77,23,High
408671,691,543,0.843,0.815,18,High
408673,692,677,0.839,0.751,25,High
408674,693,621,0.762,0.587,41,High
408720,694,655,0.696,0.668,33,High
408781,695,598,0.413,0.384,62,High
408804,696,601,0.572,0.525,48,High
408851,697,639,0.731,0.666,33,High
408852,698,538,0.918,0.875,12,High
408853,699,491,0.721,0.601,40,High
408854,700,471,0.344,0.268,73,High
408857,701,950,0.639,0.636,36,High
408858,702,816,0.89,0.893,11,High
408859,703,953,0.645,0.605,39,High
408860,704,811,0.898,0.902,10,High
408861,705,865,0.703,0.72,28,High
408862,706,811,0.937,0.936,6,High
408863,707,845,0.729,0.731,27,High
408864,708,953,0.55,0.579,42,High
408865,709,838,0.574,0.582,42,High
408866,710,1015,0.634,0.635,36,High
408867,711,811,0.597,0.598,40,High
408868,712,813,0.936,0.938,6,High
408869,713,472,0.716,0.603,40,High
408870,714,486,0.901,0.85,15,High
408871,715,473,0.622,0.483,52,High
408872,716,366,0.811,0.743,26,High
408873,717,426,0.819,0.771,23,High
408874,718,447,0.711,0.583,42,High
408883,719,518,0.828,0.759,24,High
408900,720,577,0.7,0.605,39,High
408901,721,588,0.643,0.54,46,High
408902,722,778,0.584,0.503,50,High
408904,723,609,0.548,0.49,51,High
410697,724,633,0.665,0.642,36,High
410699,725,647,0.657,0.609,39,High
410700,726,648,0.872,0.843,16,High
410701,727,617,0.656,0.64,36,High
410702,728,587,0.687,0.659,34,High
410703,729,620,0.624,0.568,43,High
419bb6f31ce4409dae3bc8af5174bc58,730,411,0.725,0.652,35,High
425419af383e4dd9a55dca7ef5f1f4f4,731,1033,0.288,0.237,76,High
4521cbe248644f6e8638e8c639798969,732,344,0.794,0.785,21,High
4637f5ce6906482dad595f05f3801456,733,901,0.527,0.529,47,High
471cc2c4cb47400e98d0a14aebbf53d4,734,459,0.623,0.55,45,High
479e4a226219432da0ebff4d350a0588,735,596,0.674,0.635,36,High
49c9bc4d74ce470584c57f408461a8f2,736,833,0.526,0.525,48,High
4a7f4368892c41fc89f4f6f0193a1ba7,737,435,0.745,0.679,32,High
4c2882eb16c64eb9ad4e40bb31a53068,738,434,0.694,0.606,39,High
4cce72fdad94448e935885e1a69e1b57,739,403,0.782,0.718,28,High
4dbb74a6a2c249fa8d882ac1bdae07b4,740,711,0.35,0.306,69,High
4dcc1f4e6a904e59832492526f26d958,741,809,0.407,0.361,64,High
4e2f698ab23d4602a259bba43857d88a,742,332,0.75,0.666,33,High
4ef36006392c4370b099a5a0cf05e785,743,438,0.767,0.707,29,High
4fa1a6e4f3cf403bb1c19a2281c3f84c,744,749,0.458,0.44,56,High
501f71a625a54e3da3fb799a1d9fc5e9,745,363,0.736,0.651,35,High
50aadd73bb2841d382f05ba5b8a966ec,746,828,0.582,0.542,46,High
5143a1e984a949b0b29231d3c78ee566,747,525,0.51,0.482,52,High
519adc5808ee4e71930ed5673f9e4cc6,748,508,0.587,0.514,49,High
5288a08fece24fb4868c69a415e968f3,749,427,0.564,0.478,52,High
53b76a41f84d4077829284929fe5ce6f,750,431,0.568,0.481,52,High
56961b0a82a84d20908eb748e200b6f3,751,421,0.627,0.596,40,High
58a9bd38e6554c66b70eec4b56602216,752,491,0.521,0.432,57,High
58f124c5920c40aba47d6f4c5de9a8c6,753,463,0.775,0.772,23,High
5917025ec2d147f189525832474740d8,754,385,0.745,0.672,33,High
59bb6316d90441f8a3afcbb7940483ab,755,548,0.5,0.489,51,High
5b50f4d35c7a46de8ebce6d86d32c64c,756,1692,0.313,0.317,68,High
5c3ef21d05554404a96d6125bf149e35,757,597,0.461,0.393,61,High
5dcab56a2d224c2e918c5a2aa556de54,758,422,0.796,0.736,26,High
5e17d6240d514fd8893957b71bd6ecfd,759,597,0.523,0.49,51,High
5fc95ae2c96f4c2abb64b93884a3506c,760,632,0.636,0.626,37,High
6081bab48cc44ea6b3526b5ace168682,761,398,0.746,0.66,34,High
626de68187604d71942d785d72e8bae3,762,354,0.743,0.66,34,High
639719bf006045499a3f7d8ebaea1e18,763,596,0.518,0.457,54,High
6479283168844287aecff1f9f53dc87e,764,540,0.709,0.639,36,High
64e929d0ef7f4c93896d22e3b2997b0e,765,798,0.546,0.502,50,High
658a2530f62b4e0bae92d619b6e72a3c,766,420,0.724,0.647,35,High
65aca7146f3f486ca709f1d41eff9099,767,386,0.772,0.696,30,High
660120880bc44e23961334646c024c27,768,486,0.628,0.544,46,High
66666145f0cb44a98d4e2a5866eecafc,769,638,0.71,0.679,32,High
687b85f959654f01b3a1643f03bd8cd2,770,424,0.575,0.485,51,High
6b0cca0eefd941ab9a0e355cf815f327,771,856,0.401,0.348,65,High
6c24cc70fb104a31a980d1b4293a4007,772,461,0.764,0.725,27,High
6d826e3a08634e96881df66b25c536c1,773,501,0.607,0.573,43,High
6dd73a818fdc4b919f918610ef805722,774,508,0.722,0.655,34,High
6e35232cc6ab4e20af642566a1ea2b8d,775,418,0.586,0.499,50,High
715377532bcb43e8922710fe6b06c3ed,776,465,0.654,0.571,43,High
71678a2cdd5d4703a61a64eac65295e3,777,525,0.672,0.596,40,High
71e741db70b64490866a4492987067a1,778,647,0.753,0.716,28,High
74e055e2bb464e5ba2eb8e57ca2e1235,779,576,0.72,0.677,32,High
797c46b4a7514904a1a9baa705e525b5,780,464,0.659,0.627,37,High
79f26bdc30034c44920c8f3a11bd0423,781,1170,0.442,0.449,55,High
7a640bc378af48e280eeb61de110a88b1,782,753,0.295,0.236,76,High
7a640bc378af48e280eeb61de110a88b2,783,524,0.469,0.402,60,High
7a640bc378af48e280eeb61de110a88b3,784,726,0.326,0.265,74,High
7a640bc378af48e280eeb61de110a88b31,785,688,0.334,0.271,73,High
7a640bc378af48e280eeb61de110a88b311,786,635,0.369,0.302,70,High
7a640bc378af48e280eeb61de110a88b3113,787,584,0.387,0.319,68,High
7d2758709d7d4b2aa127f9d328ea90b3,788,485,0.6,0.509,49,High
7dd92241c93f4790be52bc1e200125d6,789,480,0.64,0.555,44,High
7ee4af44053648f999b52705fb6efe8a,790,514,0.549,0.473,53,High
7f2fe445cd6a4adb9cf28824f0505859,791,491,0.684,0.626,37,High
7f3f377ce2024180ab2e42ea92952a93,792,350,0.703,0.621,38,High
815361ebe07e493898edbe2911f389ad,793,556,0.752,0.705,29,High
820c13474660440c8ec6746e5f08ed69,794,433,0.822,0.776,22,High
822d7f73b5214405ad809d8eb5abd105,795,657,0.683,0.688,31,High
822e6f98e6d940c4a7ff4012d5c8ed04,796,555,0.492,0.412,59,High
8269ed3c16a4426ba1d7c9b3dde35e08,797,433,0.617,0.53,47,High
82c34c4ee19c49c48fb885fb3bceb5a6,798,641,0.727,0.745,25,High
857dd27a0801498ab92df2dd23bf3fb9,799,458,0.662,0.578,42,High
86cd7e0d75ac4388afbc6705668b89e6,800,630,0.646,0.603,40,High
