question_textid,PKSmodel_index,total_attempts,proportionCorrect,continuousPKSdifficulty,discretePKSdifficulty,difficultyRatingConfidence
d476e6a92dc44ebf8852995869016c44,882,601,0.458,0.385,61,High
d548fe71c4c14c10a8c6a4e471b58258,883,647,0.504,0.485,51,High
d5ca616cf4eb4a8a9f4d7f9e6e391aec,884,378,0.714,0.678,32,High
d6cc8cd055d9478086cdf67da84b6dde,885,476,0.601,0.517,48,High
d70b1f8c45734f14be12ad33ac1f4f7e,886,417,0.806,0.798,20,High
d7c8667ea238419b95aafc40f2a5b8a6,887,423,0.702,0.681,32,High
d9b42513e25e43568366d0e79a919ab2,888,590,0.681,0.702,30,High
d9f4f61a85da4af9b571d8c1ee7ac800,889,445,0.8,0.748,25,High
db5ee9b8ca584f858a4e18f698bbea77,890,584,0.699,0.66,34,High
db7b4c7b7dda47c3ac2388cc7dd5cf38,891,448,0.623,0.539,46,High
dc6de87a48f04f95b2385e445f4e8ecc,892,528,0.614,0.552,45,High
deb75c5003864b99b493d229a965a378,893,567,0.713,0.672,33,High
df9a9663b016431583ad9bdd4ba13090,894,502,0.59,0.504,50,High
e1a6fa3bb93a421cb8b61f7bbc8238fc,895,626,0.609,0.596,40,High
e1bd17f366b34df48a57d131466f57f3,896,537,0.553,0.511,49,High
e246c4a7581a4295b52e65677506db99,897,603,0.502,0.416,58,High
e41156685ec449f4b1933ac401a75c70,898,488,0.588,0.505,49,High
e4365b37b96e42c898a5f8e45eb8d554,899,726,0.647,0.676,32,High
e78eadeddae8438cbad85fece108ec75,900,622,0.587,0.518,48,High
e7d7f37b1fef4aba94c6d5d2c5f0a709,901,634,0.711,0.726,27,High
e8b2dcea64144df2a8b477c255ee145a,902,592,0.637,0.568,43,High
ea831134566540ff952880e6d3dd0fcf,903,1320,0.4,0.387,61,High
eb95b8a5ee7348b1bc3aaeed7ee9cf11,904,698,0.689,0.655,34,High
ec08930110a2466498d42001e1dd4736,905,771,0.525,0.539,46,High
ec291c241ae844ef904e972fb25c5907,906,458,0.838,0.779,22,High
eda5d0c741754113a841790b80af1b5e,907,472,0.672,0.593,41,High
f00fabae54e0411380fe3541dac676c7,908,423,0.738,0.674,33,High
f071044b58484b36a98d97dccd5967b6,909,570,0.818,0.778,22,High
f0f707ccaac2472da0308b4a87ae8ea7,910,399,0.704,0.62,38,High
f12fa31f06d34071a28f733653a19bba,911,634,0.733,0.7,30,High
f1735843b9aa487f979988e1870dddaa,912,940,0.581,0.588,41,High
f44dd2aacf3842ffb7b7c90f620599ad,913,545,0.585,0.557,44,High
f5295cc02b52494688fa611162efb563,914,508,0.514,0.425,57,High
f81521deef444af6b5c9a2f8040d0155,915,911,0.553,0.559,44,High
f9e8c4053c314d10a18bc0767f44c197,916,561,0.708,0.673,33,High
f9ee999b79d64debbc9ec516039a732e,917,638,0.644,0.593,41,High
fb5b1c5c3fc2497d932db6e987156703,918,574,0.85,0.808,19,High
fbaed079066f4344b236cec1d56ca3aa,919,628,0.629,0.572,43,High
fd2fe42215ce4561b61604d91171c3b2,920,588,0.577,0.505,49,High
fe7979d72f8143c98bd3b577859a90c5,921,593,0.676,0.663,34,High
fef608b883e543a0827e24c9e5b503fd,922,458,0.769,0.754,25,High
