question_index,question_textid,KP_index,deltaMeanZShiftCorrect,deltaMeanZShiftIncorrect,centerValue,iqta,weights_1,weights_2,weights_3,weights_4,inTestBank
1,00342ca9273a4ecba512a048778ee22e,74,0.106454849605748,-0.236995051076968,0.532632950359032,0,0.17603773309326,0.555859662788728,0.0211124184983423,-0.0247284877199368,0
2,005083c851d94109a56cb0ec5b805cc8,100,0.11315236604727,-0.225255876907775,0.468194722140278,0,0.196499887884837,0.615101244214828,0.0179087649912621,-0.0682368385298464,0
3,00ac23c9c6eb4ba598ea933de4011d45,10,0.0841595410565866,-0.186131386064315,0.523701749783039,0,0.158455288757721,0.473163104715846,-0.100030591724133,0.0248060501345028,0
4,01a4a1043c754a5c998351f8b461dc8a,32,0.0315839038309037,-0.0357611576824514,0.0780529227039067,0,0.0974020357849084,0.032488843082113,-0.033310908818474,0.0257533709990605,0
5,030dc9cbce3a457e9b634b0698d5bd7d,67,0.0824713022900344,-0.134267799165313,0.320388973089975,0,0.142841870412623,0.403109094553485,-0.120662146664818,0.0146560451824973,0
6,0344ead05d7740b884300dcb44dae0d9,67,0.0568298308529457,-0.0527632684503129,-0.0476431765336551,0,0.101496110180378,0.235049047150593,-0.0989954555564444,-0.0283404401346266,0
7,0400438331174ee5aa82185738743790,76,0.0653117764500706,-0.105446025462537,0.312127077531053,0,0.127064213508238,0.338716551018725,-0.0434652525866421,-0.0840764658212674,0
8,0496f2d273b94c5b8a199988e1ea1120,92,0.0864070558500779,-0.167176158911274,0.432135182079678,0,0.141998181945647,0.424717765065051,-0.0714629004237553,0.0152507185719722,0
9,06fffc4bc4c14e54a6dc673a5a3190e4,102,0.0903255315884069,-0.0936689950934353,0.0229148114926278,0,0.0974020357849084,0.153321156194751,0.0894674615932384,-0.00330386239190398,0
10,0838e4e2c5d94d179425029d3dc5844d,34,0.0145123943328776,-0.0255292057987839,0.420272955503363,0,0.353896182657086,0.463935141816915,-0.408356528651243,-0.303044070882529,0
11,089b91727d2942e1b1ba5c9ce0333bff,52,0.101070956938294,-0.156730402347861,0.288796871009269,0,0.220967545381988,0.416037343906661,-0.137539446314491,0.0255757043892225,0
12,09d2a4c670c64790a8d4e5544db07afb,77,0.083358042687009,-0.0958894259426542,0.0891504523930576,0,0.0974020357849084,0.237754699654824,0.0164813442779173,-0.0157802362349772,0
13,0db843a1f0c94674904f939f7958d0d8,43,0.024242929684888,-0.0150636789406804,-0.30008311753822,0,0.104067510586814,0.117131829262371,-0.0747717153361095,-0.0745755806489378,0
